,productname,price,rating,Mobile_Ram & Rom,Mobile_Display,Mobile_Camera,Mobile_Battery,Review & Rating
0,"OPPO A53s 5G (Ink Black, 128 GB)","₹15,750",4.3,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.56 cm (6.52 inch) HD+ Display,13MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,"60,652 Ratings & 4,154 Reviews"
1,"OPPO A33 (Moonlight Black, 32 GB)","₹9,990",4.4,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,13MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Lithium-ion Polymer Battery,"44,678 Ratings & 2,890 Reviews"
2,"OPPO A53s 5G (Crystal Blue, 128 GB)","₹15,750",4.3,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.56 cm (6.52 inch) HD+ Display,13MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,"60,652 Ratings & 4,154 Reviews"
3,"OPPO A53s 5G (Crystal Blue, 128 GB)","₹15,990",4.3,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.56 cm (6.52 inch) HD+ Display,13MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,"9,216 Ratings & 771 Reviews"
4,"OPPO A53s 5G (Ink Black, 128 GB)","₹15,990",4.3,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.56 cm (6.52 inch) HD+ Display,13MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,"9,216 Ratings & 771 Reviews"
5,"OPPO A33 (Mint Cream, 32 GB)","₹9,990",4.3,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,13MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Lithium-ion Polymer Battery,"44,678 Ratings & 2,890 Reviews"
6,"OPPO A53 (Mint Cream, 64 GB)","₹14,489",4.3,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,13MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,"74,968 Ratings & 3,749 Reviews"
7,"OPPO A53 (Moonlight Black, 64 GB)","₹11,990",4.3,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,13MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,"74,968 Ratings & 3,749 Reviews"
8,"OPPO A12 (Blue, 64 GB)","₹9,750",4.3,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.8 cm (6.22 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,4230 mAh Battery,"57,298 Ratings & 2,552 Reviews"
9,"OPPO A12 (Black, 32 GB)","₹8,750",4.4,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.8 cm (6.22 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,4230 mAh Battery,"65,488 Ratings & 4,046 Reviews"
